Tony Lama Co. said that Equus Investment II Limited Partnership has proposed changing the offer for the company to $13.65 in cash and stock from an all - cash transaction. 	 Equus Investment has changed their offer for the company to $13.65 in an all-cash transaction
Tony Lama Co. said that Equus Investment II Limited Partnership has proposed changing the offer for the company to $13.65 in cash and stock from an all - cash transaction. 	 Tony Lama Co. said that Equus Investment II has proposed changing the offer for the company to $13.65 in stock.
The committee did not confirm some of the most serious allegations, including Chang's claim that he gave Torricelli tens of thousands of dollars in cash. 	 The committee did not confirm some of the most serious allegations, including Chang's claim against Torricelli. 
Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap. 	 Heritage Media Corp, New York offered to buy shares of POP Radio Corp it doesn't already own.
Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap. 	 Heritage Media Corp. offered to buy the shares of POP Radio Corp. it doesn't already own.
Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap. 	 Heritage Media Corp. offered to buy the shares of the POP Radio Corp.
Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap. 	 In a stock swap, Heritage Media Corp. offered to buy shares of POP Radio corp.
Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap. 	 Heritage Media Corp. said it offered to buy more shares of POP Radio Corp in a stock swap.
" Senator Torricelli provided the committee with a full explanation of sources of income and any funds used for cash purposes, " she said. 	 Senator Torricelli provided the committee with a full explanation of sources of income.
" Senator Torricelli provided the committee with a full explanation of sources of income and any funds used for cash purposes, " she said. 	 Senator Torricelli provided a full explanation of income sources and funds used.
Elco Industries Inc. said it expects net income in the year ending June 30, 1990, to fall below a recent analyst's estimate of $1.65 a share. 	 Elco Industries Inc. expects net income at year end 1990, to fall below recent estimate of $1.65 a share.
Elco Industries Inc. said it expects net income in the year ending June 30, 1990, to fall below a recent analyst's estimate of $1.65 a share. 	 Elco Industries Inc. said it expects net income in 1990, to fall below a recent analyst's estimate.
I can assure you that thousands of Audubon Petitions can make a difference -- just as they did in a successful battle against an adverse wetlands proposal a few years ago! 	 I promise that Audubon Petitions do make a difference -- like they did against an adverse wetlands proposal not long ago!
I can assure you that thousands of Audubon Petitions can make a difference -- just as they did in a successful battle against an adverse wetlands proposal a few years ago! 	 Rest assure that Audubon Petitions do make a difference, they did well in a battle in wetlands proposal.
I can assure you that thousands of Audubon Petitions can make a difference -- just as they did in a successful battle against an adverse wetlands proposal a few years ago! 	 I can assure you that Audubon Petitions can make a difference -- just as they did in a battle against an adverse proposal!
