" Except for this small vocal minority, we have just not gotten a lot of groundswell against this from members, " says APA president Philip G. Zimbardo of Stanford University. 	 "Except for this small vocal minority, we have not gotten a lot of groundswell against this," says APA president Zimbardo.
Date with destiny: After Vanderbilt opens with Georgia Tech, the Commodores will play host to Furman, which is Johnson's former team and a Division I-AA powerhouse. 	 After Vanderbilt opens with Georgia Tech, the Commodores will host Furman, Johnson's former Division I-AA team. 
The court upheld the sentence of another death row inmate, Robert O. Marshall, convicted of arranging the murder of his wife at a picnic area on the Garden State Parkway. 	 The court upheld the death sentence of Robert O. Marshal, convicted of arranging the murder of his wife.
He said companies engaged in e-commerce would be able to set up offices, employ staff and own equipment in the open zone, including fully-owned foreign companies. 	 Companies in e-commerce will be able to set up offices, employ staff, and own equipment in the open zone.
Sheikh Mohamed, who is also the Defense Minister of the United Arab Emirates, announced at the inauguration ceremony that " we want to make Dubai a new trading center. " 	 Sheikh Mohamed, the Defense Minister of the United Arab Emirates, announced that "we want to make Dubai a new trading center."
Taking a cue from California, more politicians will launch their campaigns by backing initiatives, says David Magleby of Brigham Young University. 	 David Magleby said that more politicians will launch their campaigns by backing initiatives.
The thrift said that " after these charges and assuming no dramatic fluctuation in interest rates, the association expects to achieve near record earnings in 1990. " 	 The thrift said the association expects near record earnings in 1990, after these charges and with stable interest rates.
But a senior State Department official also acknowledged that some in the administration and Congress are pushing for more direct military cooperation, which would require congressional approval. 	 A State Department official acknowledged that the administration and Congress are pushing for more direct military cooperation. 
Following the suggestion of President Theodore Roosevelt, the sculptor Augustus Saint- Gaudens redesigned the coin in 1907 in high relief, forever after giving the coins the designation " saints. " 	 At President Theodore Roosevelt's suggestion, sculptor  Saint- Gaudens redesigned the coin in 1907 in high relief. They are known as "saints."
The minister who has a personal website on the internet, further said that he wanted Dubai to become the best place in the world for the advanced ( hitech ) technological companies. 	 The minister said that he wanted Dubai to become the best place in the world for advanced technological companies.
Microsoft plans to announce on Wednesday a partnership with AT&T Wireless Services to offer software for wireless devices and services, a person close to the talks said Tuesday night. 	 Microsoft will announce on Wednesday a partnership with AT&T Wireless Services to offer software for wireless devices and services.
Chairman Theodore Cooper called the program part of the company's two-year strategy to implement budget constraints and " an effective headcount-control program. " 	 Theodore Cooper called the program part of the company's tactic to enact budget limits and "a headcount-control program."
The new plant is part of IBM's push to gain a strong lead in chip - making beyond the personal computer business, where Intel and East Asian chip producers hold the advantage. 	 Where Intel and East Asian chip producers reign supreme, the new plant is IBM's push to gain a lead in chip-making
Powell is among the representatives from 13 nations outside Southeast Asia, including China, Japan and Russia, that are taking part in the annual meeting of the group's regional forum. 	 Powell is among representatives from 13 nations that are taking part in the annual meeting of the group's regional forum. 
" The most - asked question is, ` Do you know you look like Steve Martin? ' " Johnson said to the assembled writers at SEC Kickoff 2002. 	 At SEC Kickoff 2002, Johnson said he is most often asked "Do you know you look like Steve Martin?"
Valley Federal Savings & Loan Association took an $89.9 million charge as it reported a third - quarter loss of $70.7 million, or $12.09 a share. 	 VFS&LA took a quarter loss of $70.7 million or $12.09 a share, an $89.9 million charge.
Pacific First Financial Corp. said shareholders approved its acquisition by Royal Trustco Ltd. of Toronto for $27 a share, or $212 million. 	 Pacific First Financial's shareholders approved its buy by Royal Trustco for $27/share, or $212 million.
The plan was filed jointly with unsecured creditors in federal bankruptcy court in New York and must be approved by the court. 	 The plan was filed in federal bankruptcy court with unsecured creditors and must be approved.
N.V. DSM said net income in the third quarter jumped 63 % as the company had substantially lower extraordinary charges to account for a restructuring program. 	 N.V. DSM said the net income in the third quarter jumped 63%, after lowering charges to their account. 
Mr. Stronach will direct an effort to reduce overhead and curb capital spending " until a more satisfactory level of profit is achieved and maintained, " Magna said. 	 Mr. Stronach will direct spending cuts and reduce overhead until a higher profit level is achieved.
Japan surrendered within days of the detonation of the atomic bombs that killed 140,000 people in Hiroshima on Aug. 6, 1945, and 70,000 in Nagasaki three days later. 	 Japan surrendered within days after the atomic bombs killed over 210,000 in Hiroshima and Nagasaki.  
The British paper, packaging and publishing concern, said profit from continuing lines fell 10 % to # 118 million from # 130.6 million. 	 The British paper said profit from continuing lines fell 10 % to 118 million from 130.6 million.
Hadson Corp. said it expects to report a third - quarter net loss of $17 million to $19 million because of special reserves and continued low natural - gas prices. 	 Hadson Corp. expects a third quarter net loss of more than $17 million because of special reserves and low gas prices.
With the barrage of crack cocaine-connected killings in the 1980s came the realization that young people were too often full-fledged players in the violence. 	 With many crack-cocaine related killings in the 80s came the realization that youths were players in the violence.  
The sweetened offer has acceptances from more than 50 % of Weisfield's shareholders, and it is scheduled for completion by Dec. 10. 	 More than 50% of Weisfield's shareholders have accepted the offer, due for completion Dec. 10.
The minister, who has his own website, also said: " I want Dubai to be the best place in the world for state-of-the-art technology companies. " 	 The minister also stated that he wants Dubai to be the best in the world for top technology companies.
Timex is a major U.S. producer and seller of watches, including low - priced battery - operated watches assembled in the Philippines and other developing nations covered by the U.S. tariff preferences. 	 Timex is a major U.S. producer and seller of watches assembled in the Philippines and other developing nations covered by the U.S. tariff preferences.
The New Jersey Supreme Court on Tuesday overturned the death sentence of Leslie Ann Nelson, a transsexual go-go dancer who killed a police officer and an investigator with an AK-47 rifle. 	 The NJ Supreme Court on Tuesday overturned the death sentence of Leslie Ann Nelson who used AK-47 to kill a policeman and an investigator.
Critics say that is not nearly enough compared with other prescribers, such as M.D. psychiatrists or nurse practitioners who have at least six years ' medical education and clinical experience. 	 Critics say it is not enough when compared to M.D. psychiatrists or nurse practitioners who have at least six years experience.
Fore of the mint said the high price for the coin was reached " because it is one of a kind, it is beautiful and it has a great story. " 	 The coin's high price was reached "because it is one of a kind, beautiful and has a great story."
Travelers's employee benefits group, which includes its group health insurance operations, posted earnings of $24 million, compared with a loss of $3 million last year. 	 Traveler's employee benefits group posted earnings of $24 million, compared with a loss of $3 million last year.
Customers holding contracts for Waertsilae Marine's undelivered ships are expected to subscribe most of the remaining 170 million markkaa in share capital, government officials said. 	 Customers of Waertsilae Marine's with undelivered ships are expected to subscribe the remaining 170 million markkaa in share capital.
Travelers estimated that the California earthquake last month will result in a fourth - quarter pre-tax charge of less than $10 million. 	 The CA earthquake will cause an estimated fourth - quarter pre-tax under $10 million.
The seafood industry is less than thrilled about this surge of interest in ocean ecosystems from people who are not scientists. 	 The seafood industry is unhappy with the surge of interest in ocean ecosystems from the public.
His brief stop in Malaysia also highlighted the moral ambiguities of the effort to prevent terrorism and its emphasis on cooperation with governments that the United States has often criticized. 	 His stop in Malaysia highlighted moral ambiguities of efforts to prevent terrorism and cooporation with governments the U.S. has often criticized.
He did not speak to reporters in Jordan, but he told The Associated Press before leaving the United States that he hopes to " separate the humanitarian work from the political issues. " 	 He told The Associated Press before leaving the U.S that he hopes to separate the humanitarian work from the political issues.
But he insisted the international community can do a much better job in helping Iraq deal with its economic and health problems. 	 The international community could greatly help Iraq deal with economic and health problems.
But as the day wore on, the Red Sox tried harder and by Tuesday night were able to get the player they wanted for their lineup. 	 But the Red Sox persisted and by Tuesday had the player they wanted for their lineup.  
Reuters Holdings PLC said Michael Reupke resigned as general manager to pursue unspecified interests, a move the news organization termed an " amicable separation. " 	 Reuters Holdings PLC said Michael Reupke resigned as general manager to pursue unspecified interests.
" I am concerned that nonmedically trained people as legitimate prescribers of drugs will not be accepted by the American public, " says psychologist Gerald C. Davison of the University of Southern California. 	 "I am concerned that nonmedically trained people as legitimate prescribers of drugs will not be accepted by the American public," says Dr. Davison of USC.  
The inauguration of Dubai Internet City coincides with the opening of an annual IT show in Dubai, the Gulf Information Technology Exhibition ( Gitex ), the biggest in the Middle East. 	 The inauguration of Dubai Internet City coincides with the opening of the Gulf Information Technology Exhibition, an annual IT show.
Intending to ease consumer access to mental health care, New Mexico legislators in March passed a law allowing psychologists to prescribe psychotropic medications, such as antidepressants. 	 New Mexico legislators in March passed a law allowing psychologists to prescribe psychotropic medications, such as antidepressants.
Bengie is expected to be activated from the disabled list today, giving the Angels both Molina brothers on the active major - league roster for the first time. 	 Bengie will be activated from the disabled list today, putting both the Molina brothers on the Angels active roster.
The committee's action comes six months after federal prosecutors ended a lengthy criminal investigation into Torricelli's activities without filing criminal charges. 	 The committee's action comes after federal prosecutors completed an investigation, opting not to charge Torricelli.
